what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385135732090
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385135732151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135734972
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1385135755703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135756473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135758753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135765601
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1385135766950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385135767770
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385135772648
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385135773377
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385135779570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1385135782747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135783980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135793400
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385135796896
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135798049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135802513
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385135802610
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385135802642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135813234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135822127
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1385135823555
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135824568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135825193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135825529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385135835657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1385135837542
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385135839103
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385135841088
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385135842305
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1385135860459
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385135860463
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1385135860833
closed,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1385135860847
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1385135861550
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385135861623
started,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1385135861655
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1385135861670
