what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1385131546232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131546491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131550603
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385131550879
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1385131551003
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385131551008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131554145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131575883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1385131577486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385131578417
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1385131579348
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1385131579356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385131584055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131597065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131609098
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1385131613213
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1385131613242
started,bundle,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.ui",1385131613580
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1385131613640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385131613718
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385131623231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131656579
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131667753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385131677629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131679879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131682883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131690561
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1385131690571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131719276
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1385131720601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131721523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131743004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1385131743028
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1385131745030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131752562
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1385131752580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131755928
started,bundle,org.eclipse.wst.internet.monitor.core,1.0.505.v20110419,"org.eclipse.wst.internet.monitor.core",1385131763903
started,bundle,org.eclipse.wst.internet.monitor.ui,1.0.507.v20110817_1651,"org.eclipse.wst.internet.monitor.ui",1385131763923
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1385131766046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131767827
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1385131773565
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131776498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131778933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131792521
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1385131792532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131802239
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1385131802248
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131808718
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131809449
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131823849
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131830689
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1385131833202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131924623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131925927
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131926016
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131928899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131985697
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1385131985742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131993280
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1385131993318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131994602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385131996282
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385132011119
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385132011899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385132036392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385132059819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385132061211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385132061346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385132064028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385132071692
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v7.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1385132071735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385132073059
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1385132073718
