what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142585333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142587137
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142587260
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142587287
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385142594564
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142594564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142599671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142649421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142653623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142754500
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385142762087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142787458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142818902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1385142818937
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1385142818937
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385142823451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142829829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142839812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142842201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142844463
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142844568
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142844596
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385142846430
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142846430
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142869330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142875946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385142877169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142931713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142932650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142932781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142935196
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142935288
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142935313
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385142938649
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385142938649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385142950119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143100726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143100796
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143106443
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1385143108194
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385143115114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385143126284
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385143139959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143156474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143172950
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1385143172964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143179533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143213076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1385143213099
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1385143213099
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385143215611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1385143219191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143221277
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143223158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143223186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143224281
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385143228792
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385143228817
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385143232601
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385143232601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143266698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143296304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143299009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143299904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143300433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143310041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385143312646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143326657
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143327540
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143327694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143329533
opened,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385143329635
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385143329663
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1385143331721
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1385143331721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143359776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143360593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143363198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143486190
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385143489399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1385143500336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385143505385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143509329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143510585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1385143510594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1385143526037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143537326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143563048
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1385143563069
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1385143563069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143567352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143701447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143702194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143702264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143703200
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1385143703605
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385143703800
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1385143704735
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1385143704749
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1385143704766
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1385143704773
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1385143704779
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1385143704790
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1385148970141
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1385148970143
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1385148970143
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1385148970144
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1385148970144
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1385148970145
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1385148970148
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1385148970149
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1385148970150
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1385148970175
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1385148970176
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1385148970177
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1385148970178
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1385148970178
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1385148970179
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1385148970180
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1385148970181
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1385148970200
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1385148970224
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1385148970224
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1385148970224
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1385148970224
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1385148970263
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1385148970263
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1385148970263
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1385148970263
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1385148970264
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1385148970264
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1385148970265
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1385148970266
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1385148970267
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1385148970268
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1385148970268
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1385148970269
